id,name,acct_code,external_id,customer_id,user_id,project_location_id,project_stage_id,cost_center_id,billing_contact_id,shipping_contact_id,notes,recalc_warning,currency,budget,budget_time,budget_cost,rate,sga_labor,start_date,finish_date,notify_owner,notify_assignees,notify_issue_assigned_to,notify_issue_created_project_owner,notify_issue_created_customer_owner,notify_issue_closed_assigned_to,notify_issue_closed_project_owner,notify_issue_closed_customer_owner,invoice_text,invoice_layout_id,te_approver,az_approver,ta_approver,pr_approver,po_approver,br_approver,tb_approver,te_approvalprocess,az_approvalprocess,ta_approvalprocess,pr_approvalprocess,po_approvalprocess,br_approvalprocess,tb_approvalprocess,dirty,want_dirty,sync_customer,auto_bill,auto_bill_cap,auto_bill_cap_value,auto_bill_override,tax_rate_federal,tax_rate_state,tax_location_id,task_budget_cost,task_budget_revenue,defer_recalc,msp_link_type,sync_workspace,only_owner_can_edit,user_filter,timetype_filter,category_filter,assignment_cc,billing_code,message,active,deleted,created,updated,audit,notify_sr_submitted_project_owner,sold_to_contact_id,dashboard_from,enable_dashboard,attachment_id,custom_1,pm_approver_1,pm_approver_2,pm_approver_3,payroll_type_filter,te_allowance_approver,te_allowance_approvalprocess,cost_type_filter,custom_8,custom_10,portfolio_project_id,is_portfolio_project,project_exclude_filter,customer_exclude_filter,rv_approver,rv_approvalprocess,custom_15,custom_16,credit_invoice_layout_id,rate_card_id,rm_approver,rm_approvalprocess,bg_approver,bg_approvalprocess,contact_id,custom_17,custom_18,newsfeed_id,custom_27,custom_34,custom_37,custom_38,custom_40,custom_41,custom_42,custom_43,custom_44,custom_65,custom_66,custom_68,custom_71,custom_88,custom_89,custom_90,custom_91,custom_92,custom_93,custom_94,custom_95,custom_96,custom_97,custom_98,custom_99,custom_125,custom_127,custom_133,custom_137,custom_143,custom_146,custom_150,custom_158
4,Internal Activities,,,1,1,0,1,0,0,0,,,USD,0,0,0,0,0,4/6/2021,4/6/2021,1,,,,,,,,,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,,0,0,0,0,0,,,,,,,,,,,1,,9/26/2006 12:40,6/30/2021 17:06,,,0,,,0,1,0,0,0,,0,0,,,,0,,,,0,0,,0,0,0,0,0,0,0,0,,,0,2,0,,,,,,,,,Internal,,,0,0000-00-00,,0000-00-00,,0000-00-00,,,,,,,,,,,,,,0000-00-00
6,Time Off,,,1,1,0,1,0,0,0,,,USD,0,0,0,0,0,4/6/2021,4/6/2021,1,,,,,,,,,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,,0,0,0,0,0,,,,,,,,,,,1,,3/16/2007 10:54,4/6/2021 5:45,,,0,,,0,,0,0,0,,0,0,,,,0,,,,0,0,,0,0,0,0,0,0,0,0,,,0,1,0,,,,,,,,,,,,0,0000-00-00,,0000-00-00,,0000-00-00,,,,,,,,,,,,,,0000-00-00
7,Simple FF Template,,,1,1,0,10,0,0,0,,,USD,0,0,0,0,0,1/15/2019,1/15/2019,,,,,,,,,,0,-3,0,-3,0,0,0,-3,0,0,0,0,0,0,0,0,,0,1,,0,,0,0,0,0,0,,,,,,,,,,,1,,1/15/2019 18:03,4/3/2021 10:25,,,0,,,0,,0,0,0,,0,0,,,,0,,,,0,0,1,0,0,0,0,0,0,0,0,,,0,3,0,,,,,,,,,,,,0,0000-00-00,,0000-00-00,,0000-00-00,,,,,,,,,,,,,,0000-00-00
8,Simple T&M Template,,,1,1,0,10,0,0,0,,,USD,0,0,0,0,0,1/15/2019,1/15/2019,,,,,,,,,,0,-3,0,-3,0,0,0,-3,0,0,0,0,0,0,0,0,,0,1,,0,,0,0,0,0,0,,,,,,,,,,,1,,1/15/2019 18:12,4/3/2021 10:25,,,0,,,0,,0,0,0,,0,0,,,,0,,,,0,0,,0,0,0,0,0,0,0,0,,,0,4,0,,,,,,,,,,,,0,0000-00-00,,0000-00-00,,0000-00-00,,,,,,,,,,,,,,0000-00-00
9,Sample Project For UAT,,,1,7,0,3,0,0,0,,,USD,0,0,0,0,0,9/14/2020,10/30/2020,,,,,,,,,,0,-3,0,-3,0,0,0,-3,0,0,0,0,0,0,0,0,,0,1,,0,,0,0,0,0,0,,,,,,,,,,,1,1,9/21/2020 14:40,4/3/2021 10:24,,,0,,,0,,0,0,0,,0,0,,,,0,,,,0,0,,0,0,0,0,0,0,0,0,,,0,5,0,,,,,,,,10- Full PACS Upgrade,Support,,,0,0000-00-00,,0000-00-00,,0000-00-00,,,,,,,,,,,,,,0000-00-00
10,InteleONE New install,,,2,9,0,3,0,0,0,,,USD,0,200,0,0,0,9/23/2020,10/9/2020,,,,,,,,,,0,-3,0,-3,0,0,0,-3,0,0,0,0,0,0,0,0,,0,1,,0,,0,0,0,0,0,,,,,,,,,,,1,1,9/23/2020 15:08,4/3/2021 10:23,,,0,,,0,,0,0,0,,0,0,,,,0,,,,0,0,,0,0,0,0,0,0,0,0,,,0,6,0,,Monthly Time & Materials,,,,,,2- One,,,,0,0000-00-00,,0000-00-00,,0000-00-00,,,,,,,,,,,,,,0000-00-00
11,E2E Project,,,2,7,0,3,0,0,0,,,USD,0,0,0,0,0,10/5/2020,10/22/2020,,,,,,,,,,0,-3,0,-3,0,0,0,-3,0,0,0,0,0,0,0,0,,0,1,,0,,0,0,0,0,0,,,,,,,,,,,1,1,9/23/2020 16:28,4/3/2021 10:24,,,0,,,0,,0,0,0,,0,0,,,,0,,,,0,0,,0,0,0,0,0,0,0,0,,,0,7,0,,,,,,,,,Maintenance,,,0,0000-00-00,,0000-00-00,,0000-00-00,,,,,,,,,,,,,,0000-00-00
12,TEST - Smoke Test,,,344,120,0,4,0,0,0,,,CAD,0,0,0,0,0,4/30/2021,4/30/2021,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,,0,,0,0,0,0,0,,,,,,,,,,,1,1,4/3/2021 11:25,4/6/2021 5:39,,,0,,,0,,0,0,0,,0,0,,,,0,,,,0,0,,0,0,0,0,0,0,0,0,,,0,8,0,,,,,,,,,,,1,139350,4/4/2021,,0000-00-00,,0000-00-00,,,,,,,,ZABT : Q-00009,,2207,,,,0000-00-00
13,TEST - Clario Usage,,,344,120,0,4,0,0,0,,,CAD,0,0,0,0,0,4/2/2021,4/2/2021,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,,0,,0,0,0,0,0,,,,,,,,,,,1,1,4/4/2021 12:17,4/6/2021 5:37,,,0,,,0,,0,0,0,,0,0,,8014W000003e2mDQAQ,,0,,,,0,0,,0,0,0,0,0,0,0,0,,,0,9,0,,,,,,,,,,,1,77325,4/4/2021,,0000-00-00,,0000-00-00,,,,,,,,ZABT : Q-00010,,2508,https://inteleradmedicalsystems--full.lightning.force.com/lightning/r/Order/8014W000003e2mDQAQ/view,,,0000-00-00
14,TEST - PACS Usage MSO,,,344,0,0,4,0,0,0,,,USD,0,0,0,0,0,4/3/2021,4/2/2021,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,,0,,0,0,0,0,0,,,,,,,,,,,1,1,4/4/2021 12:43,4/6/2021 5:38,,,0,,,0,,0,0,0,,0,0,,8014W000003e2nQQAQ,,0,,,,0,0,,0,0,0,0,0,0,0,0,,,0,10,0,,,,,,,,,,,,211638,4/4/2021,,0000-00-00,,0000-00-00,,,,,,,,ZABT : Q-00011,,2609,https://inteleradmedicalsystems--full.lightning.force.com/lightning/r/Order/8014W000003e2nQQAQ/view,,,0000-00-00
